country,countryname,poli_regime,GDP,unemploy,employment_growth,inflation,interest,FI,pop,English,French,Spanish,Arabic,0tDis,agr_change
35,Côte d'Ivoire,0,1220,3.075999975,0.082999945,1.226456121,-0.25913201,1.439124099,20401,0,1,0,0,0.000757404,3.144654088
36,Cameroon,0,1309,4.110000134,-0.565000057,1.275380462,NA,2.049213283,19970,1,1,0,0,0.072372205,1.142349432
37,D.R. of the Congo,0,334,3.697000027,-0.002000093,7.1,29.58282582,12.71601269,64523,0,1,0,0,0.017890962,0.072781809
38,Congo,0,2800,14.5539999,1.546000481,0.425560659,NA,12.66455723,4387,0,1,0,0,0.262896437,0.105417277
39,Colombia,1,6251,10.88000011,1.18999958,2.278220158,5.32007517,2.240196817,45918,0,0,1,0,0.657133754,-2.123479045
40,Comoros,1,1549,4.43900013,0.021999836,3.354757703,6.379997926,1.572548096,690,0,1,0,1,0.022191159,0
41,Cabo Verde,2,3313,10.67000008,0.112999916,2.078664709,10.48187026,6.981903001,502,0,0,0,0,0.009841224,1.736972705
42,Costa Rica,2,8199,8.920000076,-1.210000038,5.660230651,9.871389644,5.116698743,4545,0,0,1,0,0.701045626,-0.411280846
45,Cyprus,2,30817,6.260000229,-0.900000095,2.381258363,NA,53.19095304,1113,0,0,0,0,0.002678155,-2.922077922
46,Czech Republic,2,19648,7.28000021,-0.620000362,1.408717924,7.419037592,4.900684091,10536,0,0,0,0,0.155745988,-0.574032811
47,Germany,2,42241,6.96999979,0.769999981,1.103808561,NA,2.518329046,80895,0,0,0,0,0.032824574,-1.002419222
48,Djibouti,0,1254,6.203000069,0.046999931,3.950078759,NA,3.234153297,851,0,1,0,1,6.796847046,4.339947178
49,Denmark,2,57967,7.460000038,-1.449999809,2.297730121,NA,-3.654668278,5555,0,0,0,0,0,-0.494932831
50,Dominican Republic,1,5368,5.019999981,0.320000172,6.329932201,6.347720679,3.371809338,9898,0,0,1,0,0.078705435,-2.442558477
51,Algeria,0,4463,9.960000038,0.199999809,3.913043478,-6.962093016,1.42696365,36118,0,1,0,1,0.03922294,0.568072082
